"region"	"alder"	"kjønn"	"Personer 2023"
"K-3101 Halden"	"0 år"	"Menn"	127
"K-3101 Halden"	"0 år"	"Kvinner"	109
"K-3101 Halden"	"1 år"	"Menn"	138
"K-3101 Halden"	"1 år"	"Kvinner"	138
"K-3101 Halden"	"2 år"	"Menn"	143
"K-3101 Halden"	"2 år"	"Kvinner"	130
"K-3101 Halden"	"3 år"	"Menn"	144
"K-3101 Halden"	"3 år"	"Kvinner"	132
"K-3101 Halden"	"4 år"	"Menn"	136
"K-3101 Halden"	"4 år"	"Kvinner"	135
"K-3101 Halden"	"5 år"	"Menn"	174
"K-3101 Halden"	"5 år"	"Kvinner"	156
"K-3101 Halden"	"6 år"	"Menn"	177
"K-3101 Halden"	"6 år"	"Kvinner"	159
"K-3101 Halden"	"7 år"	"Menn"	157
"K-3101 Halden"	"7 år"	"Kvinner"	164
"K-3101 Halden"	"8 år"	"Menn"	168
"K-3101 Halden"	"8 år"	"Kvinner"	162
"K-3101 Halden"	"9 år"	"Menn"	189
"K-3101 Halden"	"9 år"	"Kvinner"	168
"K-3101 Halden"	"10 år"	"Menn"	185
"K-3101 Halden"	"10 år"	"Kvinner"	166
"K-3101 Halden"	"11 år"	"Menn"	172
"K-3101 Halden"	"11 år"	"Kvinner"	175
"K-3101 Halden"	"12 år"	"Menn"	193
"K-3101 Halden"	"12 år"	"Kvinner"	197
"K-3101 Halden"	"13 år"	"Menn"	189
"K-3101 Halden"	"13 år"	"Kvinner"	199
"K-3101 Halden"	"14 år"	"Menn"	210
"K-3101 Halden"	"14 år"	"Kvinner"	202
"K-3101 Halden"	"15 år"	"Menn"	178
"K-3101 Halden"	"15 år"	"Kvinner"	218
"K-3101 Halden"	"16 år"	"Menn"	199
"K-3101 Halden"	"16 år"	"Kvinner"	174
"K-3101 Halden"	"17 år"	"Menn"	201
"K-3101 Halden"	"17 år"	"Kvinner"	149
"K-3101 Halden"	"18 år"	"Menn"	213
"K-3101 Halden"	"18 år"	"Kvinner"	187
"K-3101 Halden"	"19 år"	"Menn"	194
"K-3101 Halden"	"19 år"	"Kvinner"	184
"K-3101 Halden"	"20 år"	"Menn"	215
"K-3101 Halden"	"20 år"	"Kvinner"	173
"K-3101 Halden"	"21 år"	"Menn"	214
"K-3101 Halden"	"21 år"	"Kvinner"	157
"K-3101 Halden"	"22 år"	"Menn"	194
"K-3101 Halden"	"22 år"	"Kvinner"	160
"K-3101 Halden"	"23 år"	"Menn"	198
"K-3101 Halden"	"23 år"	"Kvinner"	154
"K-3101 Halden"	"24 år"	"Menn"	188
"K-3101 Halden"	"24 år"	"Kvinner"	159
"K-3101 Halden"	"25 år"	"Menn"	198
"K-3101 Halden"	"25 år"	"Kvinner"	177
"K-3101 Halden"	"26 år"	"Menn"	215
"K-3101 Halden"	"26 år"	"Kvinner"	201
"K-3101 Halden"	"27 år"	"Menn"	189
"K-3101 Halden"	"27 år"	"Kvinner"	158
"K-3101 Halden"	"28 år"	"Menn"	203
"K-3101 Halden"	"28 år"	"Kvinner"	166
"K-3101 Halden"	"29 år"	"Menn"	196
"K-3101 Halden"	"29 år"	"Kvinner"	168
"K-3101 Halden"	"30 år"	"Menn"	205
"K-3101 Halden"	"30 år"	"Kvinner"	177
"K-3101 Halden"	"31 år"	"Menn"	206
"K-3101 Halden"	"31 år"	"Kvinner"	186
"K-3101 Halden"	"32 år"	"Menn"	242
"K-3101 Halden"	"32 år"	"Kvinner"	202
"K-3101 Halden"	"33 år"	"Menn"	209
"K-3101 Halden"	"33 år"	"Kvinner"	187
